Departments,description,message_clean,tokens,tokens_refined
oncology,"angiosarcoma   a malignant vascular tumor that results in rapidly proliferating, extensively infiltrating anaplastic cells derived from blood vessels and derived from the lining of irregular blood filled spaces. ncithesaurus hemangiosarcoma  sarcoma  oncology",angiosarcoma   a malignant vascular tumor that results in rapidly proliferating extensively infiltrating anaplastic cells derived from blood vessels and derived from the lining of irregular blood filled spaces ncithesaurus hemangiosarcoma  sarcoma  oncology,"['angiosarcoma', 'a', 'malignant', 'vascular', 'tumor', 'that', 'results', 'in', 'rapidly', 'proliferating', 'extensively', 'infiltrating', 'anaplastic', 'cells', 'derived', 'from', 'blood', 'vessels', 'and', 'derived', 'from', 'the', 'lining', 'of', 'irregular', 'blood', 'filled', 'spaces', 'ncithesaurus', 'hemangiosarcoma', 'sarcoma', 'oncology']","['angiosarcoma', 'malignant', 'vascular', 'tumor', 'results', 'rapidly', 'proliferating', 'extensively', 'infiltrating', 'anaplastic', 'cells', 'derived', 'blood', 'vessels', 'derived', 'lining', 'irregular', 'blood', 'filled', 'spaces', 'ncithesaurus', 'hemangiosarcoma', 'sarcoma', 'oncology']"
ophthalmology,pterygium surfer's eye  corneal disease  ophthalmology,pterygium surfers eye  corneal disease  ophthalmology,"['pterygium', 'surfers', 'eye', 'corneal', 'disease', 'ophthalmology']","['pterygium', 'surfers', 'eye', 'corneal', 'disease', 'ophthalmology']"
endocraniology,disease of metabolism a disease that involving errors in metabolic processes of building or degradation of molecules. ncithesaurus metabolic disease       disease  endocraniology,disease of metabolism a disease that involving errors in metabolic processes of building or degradation of molecules ncithesaurus metabolic disease       disease  endocraniology,"['disease', 'of', 'metabolism', 'a', 'disease', 'that', 'involving', 'errors', 'in', 'metabolic', 'processes', 'of', 'building', 'or', 'degradation', 'of', 'molecules', 'ncithesaurus', 'metabolic', 'disease', 'disease', 'endocraniology']","['disease', 'metabolism', 'disease', 'involving', 'errors', 'metabolic', 'processes', 'building', 'degradation', 'molecules', 'ncithesaurus', 'metabolic', 'disease', 'disease', 'endocraniology']"
microbiology,actinomadura madurae infectious disease   microbiology,actinomadura madurae infectious disease   microbiology,"['actinomadura', 'madurae', 'infectious', 'disease', 'microbiology']","['actinomadura', 'madurae', 'infectious', 'disease', 'microbiology']"
microbiology,gram positive bacterial infectious disease  microbiology   ,gram positive bacterial infectious disease  microbiology   ,"['gram', 'positive', 'bacterial', 'infectious', 'disease', 'microbiology']","['gram', 'positive', 'bacterial', 'infectious', 'disease', 'microbiology']"
microbiology,actinomadura pelletieri infectious disease  microbiology,actinomadura pelletieri infectious disease  microbiology,"['actinomadura', 'pelletieri', 'infectious', 'disease', 'microbiology']","['actinomadura', 'pelletieri', 'infectious', 'disease', 'microbiology']"
microbiology,gram positive bacterial infectious disease   microbiology,gram positive bacterial infectious disease   microbiology,"['gram', 'positive', 'bacterial', 'infectious', 'disease', 'microbiology']","['gram', 'positive', 'bacterial', 'infectious', 'disease', 'microbiology']"
microbiology,streptomyces somaliensis infectious disease  microbiology,streptomyces somaliensis infectious disease  microbiology,"['streptomyces', 'somaliensis', 'infectious', 'disease', 'microbiology']","['streptomyces', 'somaliensis', 'infectious', 'disease', 'microbiology']"
microbiology,gram positive bacterial infectious disease   microbiology,gram positive bacterial infectious disease   microbiology,"['gram', 'positive', 'bacterial', 'infectious', 'disease', 'microbiology']","['gram', 'positive', 'bacterial', 'infectious', 'disease', 'microbiology']"
dermatology and venereology,seminal vesicle acute gonorrhea   gonococcal seminal vesiculitis  dermatology and venereology,seminal vesicle acute gonorrhea   gonococcal seminal vesiculitis  dermatology and venereology,"['seminal', 'vesicle', 'acute', 'gonorrhea', 'gonococcal', 'seminal', 'vesiculitis', 'dermatology', 'and', 'venereology']","['seminal', 'vesicle', 'acute', 'gonorrhea', 'gonococcal', 'seminal', 'vesiculitis', 'dermatology', 'venereology']"
